trip_distance,fare_amount,winter,spring,summer,fall,PULongitude,PULatitude,DOLongitude,DOLatitude,pickup_datetime,dropoff_datetime,ride_duration,Early morning,Morning,Afternoon,Night,Holiday Proximity,label
12.8,37.5,1,0,0,0,-73.8728037146871,40.7748673895178,-73.9907183626618,40.719211674204395,2019-01-10 13:15:00,2019-01-10 13:44:28,0 days 00:29:28.000000000,0,0,1,0,0,J
2.49,12.0,0,1,0,0,-73.9946282171513,40.7324859518256,-74.0161196692833,40.7116120831165,2019-03-15 07:48:52,2019-03-15 08:02:43,0 days 00:13:51.000000000,0,1,0,0,0,D
0.45,3.5,0,1,0,0,-73.9449566676846,40.7906501597646,-73.96557217995941,40.7824597386361,2019-04-30 07:05:35,2019-04-30 07:07:44,0 days 00:02:09.000000000,0,1,0,0,0,A
3.49,15.5,1,0,0,0,-73.9656914919459,40.7685418846646,-73.9852141243977,40.7279442789046,2019-01-13 15:04:32,2019-01-13 15:24:09,0 days 00:19:37.000000000,0,0,1,0,0,F
1.51,8.5,1,0,0,0,-73.9569723853064,40.7804914757347,-73.97281451745029,40.7917662467824,2019-12-12 14:18:55,2019-12-12 14:28:43,0 days 00:09:48.000000000,0,0,1,0,0,C
1.4,8.5,0,0,1,0,-73.97281451745029,40.7917662467824,-73.9618152643826,40.80957022827229,2019-06-04 14:51:52,2019-06-04 15:01:01,0 days 00:09:09.000000000,0,0,1,0,0,C
1.1,9.5,0,1,0,0,-73.9569723853064,40.7804914757347,-73.97281451745029,40.7917662467824,2019-04-04 07:56:54,2019-04-04 08:10:10,0 days 00:13:16.000000000,0,1,0,0,0,C
1.65,11.5,0,1,0,0,-73.9841761608222,40.759844740029294,-73.97125597712959,40.7491720982236,2019-04-06 12:14:46,2019-04-06 12:31:27,0 days 00:16:41.000000000,0,0,0,0,0,D
13.13,39.5,0,1,0,0,-73.9124814882782,40.66380982261511,-73.86840291436441,40.7639478203254,2019-03-28 03:27:04,2019-03-28 03:57:34,0 days 00:30:30.000000000,1,0,0,0,1,J
3.12,14.5,0,0,0,1,-74.0161196692833,40.7116120831165,-73.9967775123964,40.7425461606612,2019-11-08 08:41:37,2019-11-08 08:59:22,0 days 00:17:45.000000000,0,1,0,0,0,E
4.2,16.5,1,0,0,0,-73.96557217995941,40.7824597386361,-73.9898566508315,40.7622367556144,2019-02-08 15:43:46,2019-02-08 16:02:28,0 days 00:18:42.000000000,0,0,1,0,0,F
1.97,10.5,0,1,0,0,-73.9383104968462,40.8055655654775,-73.9618152643826,40.80957022827229,2019-05-07 08:55:22,2019-05-07 09:09:01,0 days 00:13:39.000000000,0,1,0,0,0,D
3.3,12.0,0,0,1,0,-74.00671162438991,40.718695641007706,-73.9958180819094,40.6785042230919,2019-08-05 20:07:38,2019-08-05 20:20:31,0 days 00:12:53.000000000,0,0,0,0,0,D
1.3,8.5,0,1,0,0,-73.9769419924356,40.7476542811031,-73.9898566508315,40.7622367556144,2019-05-09 21:29:31,2019-05-09 21:40:55,0 days 00:11:24.000000000,0,0,0,0,0,C
2.33,11.5,0,1,0,0,-73.9938994033218,40.766692374666796,-73.9967775123964,40.7425461606612,2019-03-24 11:05:34,2019-03-24 11:20:55,0 days 00:15:21.000000000,0,1,0,0,0,D
6.0,26.0,0,0,0,1,-73.9841761608222,40.759844740029294,-74.0129193755126,40.708975618892005,2019-11-08 10:19:31,2019-11-08 10:55:50,0 days 00:36:19.000000000,0,1,0,0,0,J
0.8,7.5,0,0,1,0,-73.9841761608222,40.759844740029294,-73.9769419924356,40.7476542811031,2019-08-20 08:53:00,2019-08-20 09:02:39,0 days 00:09:39.000000000,0,1,0,0,0,C
0.9,7.0,0,0,1,0,-73.9999401565074,40.7483972248318,-73.9904776189691,40.7403134645878,2019-07-15 08:33:50,2019-07-15 08:42:20,0 days 00:08:30.000000000,0,1,0,0,0,B
2.08,15.5,0,1,0,0,-73.9721454850812,40.7568161553126,-73.9938994033218,40.766692374666796,2019-05-29 12:18:27,2019-05-29 12:43:30,0 days 00:25:03.000000000,0,0,0,0,1,F
9.4,28.0,0,1,0,0,-73.98592880648721,40.7488076668144,-73.8728037146871,40.7748673895178,2019-03-27 13:57:20,2019-03-27 14:20:50,0 days 00:23:30.000000000,0,0,1,0,1,J
